Artist,SongTitle,BPM,Key,Genre,Vocal/Instrumental,EnergyLevel,SongStructure,Lyrics/Theme,Instrumentation,CulturalContext,Popularity,Era
EdSheeran,"ShapeofYou",96,C#Minor,Pop,Vocal,High,Verse-Chorus,Romance,Synth,Contemporary,VeryHigh,2010s
EdSheeran,"ThinkingOutLoud",78,DMajor,Pop,Vocal,Moderate,Verse-Chorus,Love,Guitar,Contemporary,VeryHigh,2010s
EdSheeran,"CastleontheHill",135,EMajor,Pop,Vocal,High,Verse-Chorus,Nostalgia,Piano,Contemporary,High,2010s
EdSheeran,"Photograph",108,EMajor,Pop,Vocal,Moderate,Verse-Chorus,Love,AcousticGuitar,Contemporary,High,2010s
EdSheeran,"Perfect",63,GMajor,Pop,Vocal,Moderate,Verse-Chorus,Romance,Piano,Contemporary,VeryHigh,2010s
CamilaCabello,"Havana",105,GMinor,Pop,Vocal,High,Verse-Chorus,Romance,Percussion,Latin,VeryHigh,2010s
CamilaCabello,"Señorita",117,CMajor,Pop,Vocal,High,Verse-Chorus,Romance,Guitar,Contemporary,VeryHigh,2010s
CamilaCabello,"NeverBetheSame",130,AMinor,Pop,Vocal,High,Verse-Chorus,Love,Synth,Contemporary,High,2010s
CamilaCabello,"MyOhMy",105,EMinor,Pop,Vocal,High,Verse-Chorus,Empowerment,Brass,Contemporary,High,2020s
CamilaCabello,"Don'tGoYet",110,AMinor,Pop,Vocal,High,Verse-Chorus,Party,Percussion,Latin,High,2020s
TaylorSwift,"ShakeItOff",160,GMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Contemporary,VeryHigh,2010s
TaylorSwift,"LoveStory",120,DMajor,Pop,Vocal,Moderate,Verse-Chorus,Romance,AcousticGuitar,Contemporary,VeryHigh,2000s
TaylorSwift,"BlankSpace",96,GMajor,Pop,Vocal,High,Verse-Chorus,Drama,Synth,Contemporary,VeryHigh,2010s
TaylorSwift,"YouBelongwithMe",130,F#Major,Pop,Vocal,Moderate,Verse-Chorus,Romance,Guitar,Contemporary,VeryHigh,2000s
TaylorSwift,"WildestDreams",85,GMajor,Pop,Vocal,Moderate,Verse-Chorus,Romance,Piano,Contemporary,VeryHigh,2010s
OneDirection,"WhatMakesYouBeautiful",125,EMajor,Pop,Vocal,High,Verse-Chorus,Romance,Guitar,Contemporary,VeryHigh,2010s
OneDirection,"StoryofMyLife",123,BMinor,Pop,Vocal,Moderate,Verse-Chorus,Nostalgia,AcousticGuitar,Contemporary,VeryHigh,2010s
OneDirection,"DragMeDown",138,CMajor,Pop,Vocal,High,Verse-Chorus,Empowerment,Synth,Contemporary,VeryHigh,2010s
OneDirection,"NightChanges",126,CMajor,Pop,Vocal,Moderate,Verse-Chorus,Romance,Piano,Contemporary,VeryHigh,2010s
OneDirection,"StealMyGirl",110,EMajor,Pop,Vocal,High,Verse-Chorus,Romance,Synth,Contemporary,VeryHigh,2010s
